Month,Energy_Production,Weather_Condition,Predicted_Energy,Predicted_Before,Predicted_After
1.0,504.4,7.796129032258065,575.0777047619058,575.8724571428575,575.0777047619058
2.0,640.9,8.685915492957747,607.9895841269841,607.1427023809523,607.9895841269841
3.0,771.5,11.470322580645162,751.1105579365081,750.830660714286,751.1105579365081
4.0,921.1,16.769333333333336,872.4297687830687,873.3829515873017,872.4297687830687
5.0,1093.2,20.104516129032255,1013.106415656565,1012.404605627705,1013.106415656565
6.0,1065.3,23.49136690647482,919.7676370370374,926.344774603175,919.7676370370374
7.0,1062.1,25.921935483870968,959.3762682539681,960.6107976190475,959.3762682539681
8.0,900.9,25.883225806451613,914.324196825397,915.298797619048,914.324196825397
9.0,860.2,24.160666666666668,793.1736100529102,791.5332793650795,793.1736100529102
10.0,590.4,20.005161290322583,704.1341511062998,713.6354849927851,704.1341511062998
11.0,559.7,14.687333333333333,573.6874055555555,571.7743178571429,573.6874055555555
12.0,624.4,10.429032258064517,567.3788105820101,565.426863095238,567.3788105820101
1.0,645.9,7.796129032258065,575.0777047619058,575.8724571428575,575.0777047619058
2.0,668.6,8.685915492957747,607.9895841269841,607.1427023809523,607.9895841269841
3.0,810.7,11.470322580645162,751.1105579365081,750.830660714286,751.1105579365081
4.0,988.3,16.769333333333336,872.4297687830687,873.3829515873017,872.4297687830687
5.0,1038.1,20.104516129032255,1013.106415656565,1012.404605627705,1013.106415656565
6.0,1023.1,23.49136690647482,919.7676370370374,926.344774603175,919.7676370370374
7.0,942.7,25.921935483870968,959.3762682539681,960.6107976190475,959.3762682539681
8.0,929.3,25.883225806451613,914.324196825397,915.298797619048,914.324196825397
9.0,784.9,24.160666666666668,793.1736100529102,791.5332793650795,793.1736100529102
10.0,691.4,20.005161290322583,704.1341511062998,713.6354849927851,704.1341511062998
11.0,562.4,14.687333333333333,573.6874055555555,571.7743178571429,573.6874055555555
12.0,510.5,10.429032258064517,567.3788105820101,565.426863095238,567.3788105820101
1.0,555.3,7.796129032258065,575.0777047619058,575.8724571428575,575.0777047619058
2.0,615.5,8.685915492957747,607.9895841269841,607.1427023809523,607.9895841269841
3.0,738.2,11.470322580645162,751.1105579365081,750.830660714286,751.1105579365081
4.0,857.7,16.769333333333336,872.4297687830687,873.3829515873017,872.4297687830687
5.0,1075.3,20.104516129032255,1013.106415656565,1012.404605627705,1013.106415656565
6.0,1000.7,23.49136690647482,919.7676370370374,926.344774603175,919.7676370370374
7.0,1024.3,25.921935483870968,959.3762682539681,960.6107976190475,959.3762682539681
8.0,926.5,25.883225806451613,914.324196825397,915.298797619048,914.324196825397
9.0,786.0,24.160666666666668,793.1736100529102,791.5332793650795,793.1736100529102
10.0,619.2,20.005161290322583,704.1341511062998,713.6354849927851,704.1341511062998
11.0,555.8,14.687333333333333,573.6874055555555,571.7743178571429,573.6874055555555
12.0,549.4,10.429032258064517,567.3788105820101,565.426863095238,567.3788105820101
1.0,598.3,7.796129032258065,575.0777047619058,575.8724571428575,575.0777047619058
2.0,661.5,8.685915492957747,607.9895841269841,607.1427023809523,607.9895841269841
3.0,681.1,11.470322580645162,751.1105579365081,750.830660714286,751.1105579365081
4.0,830.7,16.769333333333336,872.4297687830687,873.3829515873017,872.4297687830687
5.0,942.0,20.104516129032255,1013.106415656565,1012.404605627705,1013.106415656565
6.0,751.1,23.49136690647482,919.7676370370374,926.344774603175,919.7676370370374
7.0,816.3,25.921935483870968,959.3762682539681,960.6107976190475,959.3762682539681
8.0,853.8,25.883225806451613,914.324196825397,915.298797619048,914.324196825397
9.0,775.6,24.160666666666668,793.1736100529102,791.5332793650795,793.1736100529102
10.0,707.9,20.005161290322583,704.1341511062998,713.6354849927851,704.1341511062998
11.0,586.7,14.687333333333333,573.6874055555555,571.7743178571429,573.6874055555555
12.0,549.1,10.429032258064517,567.3788105820101,565.426863095238,567.3788105820101
1,512.4,7.796129032258065,575.0777047619058,575.8724571428575,575.0777047619058
2,520.7,8.685915492957747,607.9895841269841,607.1427023809523,607.9895841269841
3,752.4,11.470322580645162,751.1105579365081,750.830660714286,751.1105579365081
4,787.3,16.769333333333336,872.4297687830687,873.3829515873017,872.4297687830687
5,894.7,20.104516129032255,1013.106415656565,1012.404605627705,1013.106415656565
6,933.1,23.49136690647482,919.7676370370374,926.344774603175,919.7676370370374
7,998.9,25.921935483870968,959.3762682539681,960.6107976190475,959.3762682539681
8,974.3,25.883225806451613,914.324196825397,915.298797619048,914.324196825397
9,757.0,24.160666666666668,793.1736100529102,791.5332793650795,793.1736100529102
10,799.5,20.005161290322583,704.1341511062998,713.6354849927851,704.1341511062998
11,599.2,14.687333333333333,573.6874055555555,571.7743178571429,573.6874055555555
12,596.4,10.429032258064517,567.3788105820101,565.426863095238,567.3788105820101
